"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2022-10-01 00:00:00","2022-10-01 01:00:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","226181018"
"2022-10-01 00:00:00","2022-10-01 01:00:00","Noe Valley","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","226181002"
"2022-10-01 00:00:00","2022-10-01 01:06:00","Mission","Weapons Offense","Weapons Offense","Open or Active","Mission","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","220671835"
"2022-10-01 00:00:00","2022-10-01 01:06:00","Mission","Assault","Assault","Open or Active","Mission","Battery","220671835"
"2022-10-01 00:00:00","2022-10-01 01:08:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving, No License Issued","220671829"
"2022-10-01 00:00:00","2022-10-01 01:08:00","South of Market","Vehicle Impounded","Vehicle Impounded","Cite or Arrest Adult","Southern","Vehicle, Impounded","220671829"
"2022-10-01 00:00:00","2022-10-01 01:08:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","State Code Misdemeanor (general)","220671829"
"2022-10-01 00:00:00","2022-10-01 01:15:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Purse Snatch, >$950","220671932"
"2022-10-01 00:00:00","2022-10-01 01:18:00","Lakeshore","Other Offenses","Other Offenses","Open or Active","Taraval","License Plate, Found","220671841"
"2022-10-01 00:00:00","2022-10-01 01:22:00","Seacliff","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Richmond","Miscellaneous Investigation","220671863"
"2022-10-01 00:00:00","2022-10-01 01:23:00","Lakeshore","Recovered Vehicle","Recovered Vehicle","Open or Active","Taraval","Vehicle, Recovered, Truck","220658485"
"2022-10-01 00:00:00","2022-10-01 01:29:00","Haight Ashbury","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Bomb Threat or False Report of Bomb","220671954"
"2022-10-01 00:00:00","2022-10-01 01:29:00","Haight Ashbury","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Northern","Terrorist Threats","220671954"
"2022-10-01 00:00:00","2022-10-01 01:30:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Ingleside","License Plate, Stolen","220672968"
"2022-10-01 00:00:00","2022-10-01 01:34:00","Hayes Valley","Disorderly Conduct","Disorderly Conduct","Open or Active","Northern","Phone Calls, Threatening","220672071"
"2022-10-01 00:00:00","2022-10-01 01:34:00","Hayes Valley","Malicious Mischief","Malicious Mischief","Open or Active","Northern","Phone Calls, Harassing","220672071"
"2022-10-01 00:00:00","2022-10-01 01:34:00","Hayes Valley","Disorderly Conduct","Disorderly Conduct","Open or Active","Northern","Terrorist Threats","220672071"
"2022-10-01 00:00:00","2022-10-01 01:50:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Trespassing","220671904"
"2022-10-01 00:00:00","2022-10-01 01:50:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","220671904"
"2022-10-01 00:00:00","2022-10-01 01:50:00","South of Market","Assault","Assault","Open or Active","Southern","Battery","220671904"
"2022-10-01 00:00:00","2022-10-01 01:51:00","Mission Bay","Robbery","Robbery","Open or Active","Southern","Robbery, W/ Gun","220671879"
"2022-10-01 00:00:00","2022-10-01 01:51:00","Mission Bay","Assault","Assault","Open or Active","Southern","Assault, Aggravated, W/ Gun","220671879"
"2022-10-01 00:00:00","2022-10-01 01:51:00","Mission Bay","Burglary","Burglary","Open or Active","Southern","Burglary, Hot Prowl, Forcible Entry","220671879"
"2022-10-01 00:00:00","2022-10-01 02:00:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","220673449"
"2022-10-01 00:00:00","2022-10-01 02:00:00","Mission","Robbery","Robbery","Open or Active","Mission","Robbery, Street or Public Place, W/ Force","220673728"
"2022-10-01 00:00:00","2022-10-01 02:00:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","226180418"
"2022-10-01 00:00:00","2022-10-01 02:03:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Graffiti, Real or Personal Property","220677645"
"2022-10-01 00:00:00","2022-10-01 02:04:00","Western Addition","Non-Criminal","Non-Criminal","Open or Active","Northern","Found  Property","220671857"
"2022-10-01 00:00:00","2022-10-01 02:10:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Driving While Under The Influence Of Alcohol","220671910"
"2022-10-01 00:00:00","2022-10-01 02:10:00","Financial District/South Beach","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Central","Traffic Violation Arrest","220671910"
"2022-10-01 00:00:00","2022-10-01 02:10:00","Financial District/South Beach","Traffic Collision","Traffic Collision","Cite or Arrest Adult","Central","Traffic Collision","220671910"
"2022-10-01 00:00:00","2022-10-01 02:18:00","South of Market","Larceny Theft","Larceny Theft","Open or Active","Tenderloin","Theft, From Locked Vehicle, $200-$950","220671885"
"2022-10-01 00:00:00","2022-10-01 02:40:00","South of Market","Suspicious Occ","Suspicious Occ","Cite or Arrest Adult","Tenderloin","Suspicious Act Towards Female","220671926"
"2022-10-01 00:00:00","2022-10-01 02:40:00","South of Market","Assault","Assault","Cite or Arrest Adult","Tenderloin","Battery","220671926"
"2022-10-01 00:00:00","2022-10-01 02:45:00","Mission","Missing Person","Missing Person","Open or Active","Southern","Missing Adult","220672526"
"2022-10-01 00:00:00","2022-10-01 02:45:00","Mission","Missing Person","Missing Person","Open or Active","Southern","Found Person","220672526"
"2022-10-01 00:00:00","2022-10-01 02:46:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Breaking Windows","220671960"
"2022-10-01 00:00:00","2022-10-01 03:00:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Unlocked Vehicle, >$950","226180424"
"2022-10-01 00:00:00","2022-10-01 03:30:00","Marina","Burglary","Burglary","Open or Active","Northern","Burglary, Other Bldg., Unlawful Entry","220673342"
"2022-10-01 00:00:00","2022-10-01 03:30:00","Marina","Burglary","Burglary","Open or Active","Northern","Burglary, Residence, Att. Forcible Entry","220673342"
"2022-10-01 00:00:00","2022-10-01 03:32:00","Presidio Heights","Burglary","Burglary","Open or Active","Richmond","Burglary, Hot Prowl, Unlawful Entry","220671982"
"2022-10-01 00:00:00","2022-10-01 03:40:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","226180402"
"2022-10-01 00:00:00","2022-10-01 03:55:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Vehicle Strip, $200-$950","220672714"
"2022-10-01 00:00:00","2022-10-01 04:00:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Vehicle Strip, >$950","220672021"
"2022-10-01 00:00:00","2022-10-01 04:00:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Locked Vehicle, >$950","226181290"
"2022-10-01 00:00:00","2022-10-01 04:05:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, Att.","220672689"
"2022-10-01 00:00:00","2022-10-01 04:05:00","Chinatown","Burglary","Burglary","Open or Active","Central","Burglary, Other Bldg., Unlawful Entry","220672689"
"2022-10-01 00:00:00","2022-10-01 04:05:00","Chinatown","Burglary","Burglary","Open or Active","Central","Burglary, Other Bldg., Unlawful Entry","220672689"
"2022-10-01 00:00:00","2022-10-01 04:05:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, Att.","220672689"
"2022-10-01 00:00:00","2022-10-01 04:08:00","Oceanview/Merced/Ingleside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, Vehicle Strip, >$950","220671998"
"2022-10-01 00:00:00","2022-10-01 04:15:00","Sunset/Parkside","Missing Person","Missing Person","Open or Active","Taraval","Found Person","220671675"
"2022-10-01 00:00:00","2022-10-01 04:23:00","Pacific Heights","Missing Person","Missing Person","Open or Active","Northern","Found Person","220664670"
"2022-10-01 00:00:00","2022-10-01 05:00:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Recovered, Stolen outside SF","220672009"
"2022-10-01 00:00:00","2022-10-01 05:31:00","Potrero Hill","Burglary","Burglary","Open or Active","Bayview","Burglary, Residence Under Constr, Forcible Entry","220672156"
"2022-10-01 00:00:00","2022-10-01 05:31:00","Potrero Hill","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Property","220672156"
"2022-10-01 00:00:00","2022-10-01 06:00:00","Twin Peaks","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Park","Vehicle, Stolen, Truck","220674908"
"2022-10-01 00:00:00","2022-10-01 06:00:00","Noe Valley","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Park","Vehicle, Stolen, Auto","220676863"
"2022-10-01 00:00:00","2022-10-01 06:10:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Building, >$950","220672736"
"2022-10-01 00:00:00","2022-10-01 06:30:00","Chinatown","Malicious Mischief","Malicious Mischief","Open or Active","Central","Malicious Mischief, Vandalism to Property","220672065"
"2022-10-01 00:00:00","2022-10-01 06:30:00","Tenderloin","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Tenderloin","Violation of Restraining Order","220673358"
"2022-10-01 00:00:00","2022-10-01 07:11:00","Tenderloin","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Tenderloin","Miscellaneous Investigation","220674049"
"2022-10-01 00:00:00","2022-10-01 07:29:00","Lincoln Park","Missing Person","Missing Person","Open or Active","Richmond","Found Person","220670495"
"2022-10-01 00:00:00","2022-10-01 07:30:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Northern","Aided case, Naloxone Deployment","220672128"
"2022-10-01 00:00:00","2022-10-01 07:45:00","Castro/Upper Market","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Park","Vehicle, Stolen, Other Vehicle","220672736"
"2022-10-01 00:00:00","2022-10-01 07:50:00","Portola","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","220672184"
"2022-10-01 00:00:00","2022-10-01 07:50:00","Portola","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","220672184"
"2022-10-01 00:00:00","2022-10-01 07:52:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Resisting, Delaying, or Obstructing  Peace Officer Duties","220672112"
"2022-10-01 00:00:00","2022-10-01 07:52:00","Financial District/South Beach","Vandalism","Vandalism","Cite or Arrest Adult","Central","Vehicle, Tampering","220672112"
"2022-10-01 00:00:00","2022-10-01 08:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226180963"
"2022-10-01 00:00:00","2022-10-01 08:00:00","Inner Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Unlocked Vehicle, >$950","226181422"
"2022-10-01 00:00:00","2022-10-01 08:11:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Stay Away or Court Order, Non-DV Related","220669169"
"2022-10-01 00:00:00","2022-10-01 08:11:00","Tenderloin","Drug Offense","Drug Offense","Open or Active","Tenderloin","Narcotics Paraphernalia, Possession of","220669169"
"2022-10-01 00:00:00","2022-10-01 08:11:00","Tenderloin","Warrant","Warrant","Open or Active","Tenderloin","Warrant Arrest, Local SF Warrant","220669169"
"2022-10-01 00:00:00","2022-10-01 08:30:00","Portola","Other Offenses","Other Offenses","Open or Active","Bayview","License Plate, Lost","220672322"
"2022-10-01 00:00:00","2022-10-01 08:34:00","Tenderloin","Fraud","Fraud","Open or Active","Tenderloin","Fraudulent Use Of Automated Teller Card","220677190"
"2022-10-01 00:00:00","2022-10-01 08:46:00","Visitacion Valley","Non-Criminal","Non-Criminal","Open or Active","Ingleside","Aided Case","220672190"
"2022-10-01 00:00:00","2022-10-01 08:56:00","Financial District/South Beach","Other Miscellaneous","Other Miscellaneous","Open or Active","Central","Investigative Detention","220672247"
"2022-10-01 00:00:00","2022-10-01 08:56:00","Financial District/South Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","220672247"
"2022-10-01 00:00:00","2022-10-01 09:00:00","South of Market","Missing Person","Missing Person","Open or Active","Southern","Missing Adult","220674378"
"2022-10-01 00:00:00","2022-10-01 09:00:00","Potrero Hill","Fraud","Fraud","Open or Active","Bayview","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","220678411"
"2022-10-01 00:00:00","2022-10-01 09:00:00","South of Market","Burglary","Burglary","Open or Active","Southern","Burglary, Non-residential, Forcible Entry","220676829"
"2022-10-01 00:00:00","2022-10-01 09:07:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided Case","220672140"
"2022-10-01 00:00:00","2022-10-01 09:07:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","220672140"
"2022-10-01 00:00:00","2022-10-01 09:50:00","Bernal Heights","Assault","Assault","Open or Active","Ingleside","Battery","220672429"
"2022-10-01 00:00:00","2022-10-01 09:50:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Mental Health Detention","220672219"
"2022-10-01 00:00:00","2022-10-01 10:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Building, $200-$950","220675116"
"2022-10-01 00:00:00","2022-10-01 10:00:00","Chinatown","Missing Person","Missing Person","Open or Active","Central","Missing Adult","220674817"
"2022-10-01 00:00:00","2022-10-01 10:00:00","Oceanview/Merced/Ingleside","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","220671512"
"2022-10-01 00:00:00","2022-10-01 10:06:00","Outer Mission","Suspicious Occ","Suspicious Occ","Open or Active","Ingleside","Suspicious Occurrence","220672231"
"2022-10-01 00:00:00","2022-10-01 10:13:00","Oceanview/Merced/Ingleside","Robbery","Robbery","Open or Active","Taraval","Robbery, Service Station, W/ Gun","220672297"
"2022-10-01 00:00:00","2022-10-01 10:15:00","Potrero Hill","Non-Criminal","Non-Criminal","Open or Active","Bayview","Aided Case","220672281"
"2022-10-01 00:00:00","2022-10-01 10:15:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","220672388"
"2022-10-01 00:00:00","2022-10-01 10:15:00","Golden Gate Park","Non-Criminal","Non-Criminal","Open or Active","Richmond","Found  Property","220672388"
"2022-10-01 00:00:00","2022-10-01 10:29:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","220672253"
"2022-10-01 00:00:00","2022-10-01 10:29:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided Case","220672253"
"2022-10-01 00:00:00","2022-10-01 10:29:00","Tenderloin","Drug Offense","Drug Offense","Open or Active","Tenderloin","Narcotics Paraphernalia, Possession of","220672253"
"2022-10-01 00:00:00","2022-10-01 10:30:00","Lone Mountain/USF","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Unlocked Vehicle, >$950","226181375"
"2022-10-01 00:00:00","2022-10-01 10:33:00","Oceanview/Merced/Ingleside","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Taraval","Miscellaneous Investigation","220672407"
"2022-10-01 00:00:00","2022-10-01 10:37:00","Mission","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Mission","Violation of Restraining Order","220672413"
"2022-10-01 00:00:00","2022-10-01 10:40:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $200-$950","220672504"
"2022-10-01 00:00:00","2022-10-01 10:48:00","Haight Ashbury","Stolen Property","Stolen Property","Cite or Arrest Adult","Northern","Stolen Property, Possession with Knowledge, Receiving","220672350"
"2022-10-01 00:00:00","2022-10-01 10:48:00","Haight Ashbury","Burglary","Burglary","Cite or Arrest Adult","Northern","Burglary, Apartment House, Forcible Entry","220672350"
"2022-10-01 00:00:00","2022-10-01 10:48:00","Haight Ashbury","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Resisting, Delaying, or Obstructing  Peace Officer Duties","220672350"
"2022-10-01 00:00:00","2022-10-01 10:54:00","Chinatown","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Central","Theft, Shoplifting, $200-$950","220673267"
"2022-10-01 00:00:00","2022-10-01 10:59:00","Tenderloin","Drug Offense","Drug Offense","Cite or Arrest Adult","Tenderloin","Narcotics Paraphernalia, Possession of","220596885"
"2022-10-01 00:00:00","2022-10-01 10:59:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","220596885"
"2022-10-01 00:00:00","2022-10-01 11:00:00","Inner Sunset","Missing Person","Missing Person","Open or Active","Park","Missing Adult","220673944"
"2022-10-01 00:00:00","2022-10-01 11:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220673013"
"2022-10-01 00:00:00","2022-10-01 11:00:00","North Beach","Fraud","Fraud","Open or Active","Central","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","220673013"
"2022-10-01 00:00:00","2022-10-01 11:00:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $200-$950","220672861"
"2022-10-01 00:00:00","2022-10-01 11:00:00","Sunset/Parkside","Malicious Mischief","Malicious Mischief","Open or Active","Taraval","Malicious Mischief, Vandalism to Property","220673922"
"2022-10-01 00:00:00","2022-10-01 11:15:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226181074"
"2022-10-01 00:00:00","2022-10-01 11:20:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","220672510"
"2022-10-01 00:00:00","2022-10-01 11:30:00","Sunset/Parkside","Larceny Theft","Larceny Theft","Open or Active","Taraval","Theft, From Building, <$50","220675075"
"2022-10-01 00:00:00","2022-10-01 11:30:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Tenderloin","Terrorist Threats","220672582"
"2022-10-01 00:00:00","2022-10-01 11:30:00","Tenderloin","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Tenderloin","Mental Health Detention","220672582"
"2022-10-01 00:00:00","2022-10-01 11:30:00","Bayview Hunters Point","Fraud","Fraud","Open or Active","Out of SF","Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell","220677316"
"2022-10-01 00:00:00","2022-10-01 11:30:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Assault, Aggravated, W/ Other Weapon","220672582"
"2022-10-01 00:00:00","2022-10-01 11:37:00","South of Market","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Tenderloin","Search Warrant Service","220671954"
"2022-10-01 00:00:00","2022-10-01 11:38:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Tenderloin","Terrorist Threats","220672582"
"2022-10-01 00:00:00","2022-10-01 11:38:00","Tenderloin","Non-Criminal","Non-Criminal","Cite or Arrest Adult","Tenderloin","Mental Health Detention","220672582"
"2022-10-01 00:00:00","2022-10-01 11:38:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Tenderloin","Assault, Aggravated, W/ Other Weapon","220672582"
"2022-10-01 00:00:00","2022-10-01 12:00:00","Outer Richmond","Non-Criminal","Non-Criminal","Open or Active","Taraval","Found  Property","220675605"
"2022-10-01 00:00:00","2022-10-01 12:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","226180684"
"2022-10-01 00:00:00","2022-10-01 12:00:00","Nob Hill","Fraud","Fraud","Open or Active","Central","False Personation to Receive Money or Property","220673295"
"2022-10-01 00:00:00","2022-10-01 12:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Other Property, $50-$200","226181052"
"2022-10-01 00:00:00","2022-10-01 12:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220672899"
"2022-10-01 00:00:00","2022-10-01 12:00:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Pickpocket, $200-$950","220672651"
"2022-10-01 00:00:00","2022-10-01 12:15:00","Haight Ashbury","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","220672623"
"2022-10-01 00:00:00","2022-10-01 12:17:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220672924"
"2022-10-01 00:00:00","2022-10-01 12:17:00","North Beach","Fraud","Fraud","Open or Active","Central","Access Card, incl. Credit, Phone, ATM, Fraudulent Use of","220672924"
"2022-10-01 00:00:00","2022-10-01 12:30:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, $200-$950","220672974"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Central","Warrant Arrest, Local SF Warrant","220673251"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Tenderloin","Burglary","Burglary","Cite or Arrest Adult","Central","Burglary, Store, Unlawful Entry","220673251"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Inner Sunset","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $200-$950","220672827"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Burglary Tools, Possession Of","220673251"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Western Addition","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","220672883"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Potrero Hill","Vandalism","Vandalism","Open or Active","Bayview","Vehicle, Tampering","220678621"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Financial District/South Beach","Other","Other","Open or Active","Southern","Death Report, Cause Unknown","220674083"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Tenderloin","Burglary","Burglary","Open or Active","Tenderloin","Burglary, Apartment House, Unlawful Entry","220674306"
"2022-10-01 00:00:00","2022-10-01 13:00:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, $200-$950","220673198"
"2022-10-01 00:00:00","2022-10-01 13:12:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220673148"
"2022-10-01 00:00:00","2022-10-01 13:50:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","220673386"
"2022-10-01 00:00:00","2022-10-01 14:03:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Shoplifting, <$50","220672855"
"2022-10-01 00:00:00","2022-10-01 14:03:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","220672855"
"2022-10-01 00:00:00","2022-10-01 14:08:00","Potrero Hill","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Truck","220289375"
"2022-10-01 00:00:00","2022-10-01 14:12:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","220672877"
"2022-10-01 00:00:00","2022-10-01 14:12:00","Marina","Assault","Assault","Open or Active","Northern","Battery","220672877"
"2022-10-01 00:00:00","2022-10-01 14:20:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","220673392"
"2022-10-01 00:00:00","2022-10-01 14:30:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen & Recovered","220673518"
"2022-10-01 00:00:00","2022-10-01 14:30:00","North Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","220673762"
"2022-10-01 00:00:00","2022-10-01 14:41:00","Mission","Warrant","Warrant","Cite or Arrest Adult","Mission","Warrant Arrest, Enroute To Outside Jurisdiction","220673041"
"2022-10-01 00:00:00","2022-10-01 14:41:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Investigative Detention","220673041"
"2022-10-01 00:00:00","2022-10-01 14:50:00","Portola","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Bayview","Driving While Under The Influence Of Drugs","220672930"
"2022-10-01 00:00:00","2022-10-01 14:50:00","Portola","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Bayview","Driving While Under The Influence Of Drugs","220672930"
